incident_id,crime_gravity_stolen,crime_gravity_not_stolen,ratio (stolen /not_stolen)
64745,1,1,1
64913,1,1,1
64971,8,2,4
64979,4,2,2
65134,2,1,2
65511,10,4,2.5
65582,2,4,0.5
65613,6,2,3
65699,4,2,2
66183,1,1,1
66278,2,1,2
66363,3,1,3
66421,6,2,3
66430,2,2,1
66519,2,6,0.33333334
66677,4,4,1
66748,10,2,5
67037,6,2,3
67072,1,1,1
67396,6,2,3
67410,2,2,1
67430,2,4,0.5
67495,2,2,1
67560,3,1,3
67676,14,2,7
67893,6,6,1
67910,3,2,1.5
68001,21,2,10.5
68017,2,1,2
68026,6,4,1.5
68035,6,2,3
68392,2,2,1
68393,2,2,1
68584,2,1,2
68882,13,2,6.5
68995,12,6,2
69459,2,2,1
69578,6,6,1
69616,12,4,3
69649,2,2,1
69736,6,2,3
69774,1,1,1
69790,3,1,3
69791,48,10,4.8000002
69887,2,2,1
69907,1,1,1
70237,4,2,2
70262,1,1,1
70337,4,2,2
70443,2,2,1
70466,6,3,2
70482,2,6,0.33333334
70524,6,2,3
70608,1,1,1
70612,2,2,1
70667,2,2,1
70718,6,6,1
70776,2,4,0.5
70896,2,2,1
70948,2,2,1
71060,1,1,1
71124,2,2,1
71297,2,2,1
71351,1,1,1
71464,1,1,1
71520,2,2,1
71536,2,2,1
71606,2,2,1
71892,2,2,1
72021,4,2,2
72149,1,1,1
72220,2,2,1
72422,4,1,4
72970,2,6,0.33333334
72983,2,2,1
73022,2,1,2
73258,2,2,1
73334,2,2,1
73378,4,4,1
73393,2,2,1
73586,16,6,2.6666667
73633,4,4,1
73803,1,2,0.5
73855,6,2,3
73902,2,2,1
74092,2,4,0.5
74098,2,2,1
74176,4,2,2
74177,8,2,4
74220,3,2,1.5
74322,1,1,1
74440,1,1,1
74527,1,1,1
74631,2,2,1
75055,6,2,3
75137,1,4,0.25
75184,1,1,1
75248,2,2,1
75345,2,2,1
75573,10,2,5
75613,12,2,6
75640,2,2,1
75645,1,1,1
75700,8,2,4
76028,2,2,1
76041,4,2,2
76194,6,6,1
76293,4,2,2
76462,4,2,2
76586,24,6,4
76762,4,2,2
76787,8,2,4
76899,12,2,6
77144,6,2,3
77181,2,2,1
77296,6,2,3
77362,1,2,0.5
77382,2,2,1
77532,6,2,3
77571,4,2,2
77655,2,2,1
77688,2,2,1
78033,2,2,1
78176,2,4,0.5
78229,2,4,0.5
78306,2,2,1
78329,6,6,1
78451,2,6,0.33333334
78512,2,2,1
78520,4,2,2
78576,2,2,1
78628,8,2,4
78731,4,2,2
79027,4,6,0.66666669
79261,4,2,2
79271,12,6,2
79481,2,4,0.5
79603,2,2,1
79612,2,2,1
79744,3,2,1.5
79779,2,2,1
79829,2,2,1
79916,2,2,1
80016,2,2,1
80086,2,1,2
80292,2,6,0.33333334
80420,2,2,1
80761,1,1,1
80771,4,4,1
80933,18,2,9
81028,2,2,1
81034,20,2,10
81043,2,4,0.5
81054,1,1,1
81101,6,2,3
81147,4,2,2
81237,2,2,1
81409,2,2,1
81687,6,6,1
81743,4,2,2
81920,3,1,3
82082,2,6,0.33333334
82087,2,2,1
82089,2,2,1
82346,16,2,8
82347,6,4,1.5
82432,2,2,1
82443,10,2,5
82723,2,2,1
82981,4,2,2
83059,6,2,3
83090,2,2,1
83158,12,2,6
83185,4,1,4
83186,2,2,1
83253,2,2,1
83371,8,6,1.3333334
83640,26,4,6.5
83770,4,2,2
83912,2,1,2
84237,2,1,2
84310,1,1,1
84349,2,2,1
84426,1,1,1
84598,4,2,2
84774,1,1,1
85045,2,2,1
85102,2,2,1
85487,1,4,0.25
85731,2,1,2
85778,1,1,1
85793,4,2,2
85907,2,2,1
85983,1,1,1
86009,1,2,0.5
86195,2,2,1
86213,2,1,2
86474,4,2,2
86542,2,2,1
86570,6,2,3
86573,2,6,0.33333334
86791,2,1,2
87136,2,2,1
87285,12,2,6
87289,7,1,7
87578,6,2,3
87602,1,1,1
87672,8,4,2
87686,2,1,2
87740,8,2,4
87754,2,2,1
87856,12,6,2
88002,6,2,3
88036,2,6,0.33333334
88039,2,2,1
88061,2,2,1
88062,6,6,1
88239,6,6,1
88252,4,2,2
88259,2,2,1
88509,2,1,2
88807,18,6,3
88826,2,2,1
88961,4,2,2
89012,4,1,4
89128,2,6,0.33333334
89235,3,1,3
89274,5,2,2.5
89294,2,2,1
89480,2,1,2
89708,2,2,1
89833,6,2,3
89869,1,1,1
89922,2,2,1
90154,3,6,0.5
90205,4,2,2
90228,4,2,2
90259,2,1,2
90510,18,2,9
90590,6,6,1
90859,4,2,2
90987,2,2,1
91156,2,2,1
91328,4,4,1
91480,4,2,2
91500,1,2,0.5
91911,6,2,3
92063,14,2,7
92165,2,1,2
92169,6,6,1
92186,2,2,1
92280,2,2,1
92475,2,6,0.33333334
92574,1,1,1
92739,2,2,1
93031,1,1,1
93058,4,1,4
93073,2,2,1
93185,2,2,1
93243,2,2,1
93252,4,6,0.66666669
93327,2,2,1
93331,1,1,1
93630,8,6,1.3333334
93686,2,2,1
93736,2,2,1
93949,2,2,1
